ell,Dl_observed,Dl_error,Dl_true_theory
16.5,995.4005548097672,265.13228010421284,914.6102206677775
46.5,1113.969614061182,237.22489706802702,1360.6797366164676
76.5,2248.2945593236423,277.84748874250516,2039.783579145008
106.5,3233.9434852024838,337.0871392655493,2916.891215660057
136.5,3146.7998055344565,401.4799456266425,3930.101306990865
166.5,4297.381870817591,452.3308205175287,4886.397795617734
196.5,5599.470142603884,472.4767334716445,5539.068526509706
226.5,5555.587265969282,453.43456624208966,5698.982588655868
256.5,5313.368687241705,398.56647742823645,5320.065065404906
286.5,4242.217152861902,321.0169356033888,4516.058700426652
316.5,3733.1750901470123,239.14043030108755,3522.8754800324105
346.5,2741.7108709503764,170.11287818737114,2609.398446183632
376.5,1994.2717579727748,124.97881262606053,1986.0193197947035
406.5,1862.8473663191583,106.37554942900432,1742.9364635889199
436.5,1886.6307237763917,109.14032202087472,1835.606603615236
466.5,2013.4582481565767,123.28829823880244,2119.3989535948804
496.5,2465.3466350834806,137.9850711951459,2414.464531888591
526.5,2436.034707607513,145.17100545847774,2575.236658886499
556.5,2666.2534143130547,141.88190040507712,2541.6172161521663
586.5,2339.797032200429,130.19874345590245,2346.29732307673
616.5,2065.2860108355258,115.52457015194857,2086.6421559213654
646.5,1808.5133454481015,104.18129873371755,1879.4534697302627
676.5,1935.2893645487945,100.89860632718404,1811.9366472992149
706.5,1890.3640846176481,107.0087192836538,1906.900086585397
736.5,2066.5704489494415,120.12697603829824,2118.0241749789657
766.5,2305.283546352145,135.23821900017413,2352.9054605703814
796.5,2588.242242774864,146.57249249130774,2510.2203586722917
826.5,2572.367688111161,149.67091107893384,2517.6713420494007
856.5,2414.2925857707014,142.834894811085,2355.339966608284
886.5,2115.0422793555827,127.65562394024629,2060.0455554100486
916.5,1939.75337074255,108.29946107635143,1707.814089752818
946.5,1348.2959010465786,89.98340773536117,1384.8665091756889
976.5,1118.0652220532863,77.14989036308627,1157.5846924404436
1006.5,996.119298035837,72.17418460224035,1054.8526811486681
1036.5,1108.384030306016,74.67698449759112,1062.3845445155107
1066.5,1225.2716775975932,81.85389919909697,1132.860893350644
1096.5,1197.5934165602644,89.74453940705327,1207.8195786641058
1126.5,1159.514544081062,94.70756338303094,1239.0837168746546
1156.5,1125.4589012868073,94.64458323013145,1203.4915823269769
1186.5,1164.811854965537,89.5460007530161,1106.5538726970794
